car,battery_capacity,profile,arrival_time_in_minutes,waiting_time_in_minutes,current_battery_level,willingness_to_pay_extra_per_kwh,willingness_to_release,target_battery_level,soc,ocv
Audi Q4 e-tron,52000,STANDARD,23831,4,11766,0.11,0.27,36434,0.22626923076923078,3.4219
Tesla Model Y,75000,STANDARD,37071,1,5692,0.33,0.22,42812,0.07589333333333333,3.1257
Skoda Enyaq,77000,STANDARD,40280,0,9889,0.11,0.27,28568,0.12842857142857142,3.2419
Volvo EX30,51000,STANDARD,26680,3,11667,0.03,0.37,46312,0.22876470588235295,3.4262
Volvo EX30,51000,STANDARD,16453,0,16546,0.33,0.4,48317,0.3244313725490196,3.5395
Volvo EX30,51000,STANDARD,29572,4,17300,0.35,0.22,45890,0.3392156862745098,3.5535
Tesla Model 3,75000,STANDARD,41493,4,11885,0.17,0.3,62607,0.15846666666666667,3.2937
Tesla Model 3,75000,STANDARD,19293,3,11163,0.25,0.37,57014,0.14884,3.2765
Audi Q4 e-tron,52000,STANDARD,30738,0,16489,0.28,0.2,41630,0.31709615384615386,3.5326
Tesla Model Y,75000,STANDARD,26625,2,12452,0.34,0.31,58064,0.16602666666666666,3.3086
Volvo EX30,51000,STANDARD,6423,0,15810,0.08,0.38,50980,0.31,3.5259
Tesla Model Y,75000,STANDARD,33679,4,5773,0.22,0.33,33699,0.07697333333333334,3.1285
Tesla Model Y,75000,STANDARD,7473,0,11554,0.1,0.37,37744,0.15405333333333332,3.2854
Skoda Enyaq,77000,STANDARD,30715,1,19894,0.2,0.39,59044,0.25836363636363635,3.4746
Audi Q4 e-tron,52000,STANDARD,7675,1,12413,0.09,0.3,44626,0.23871153846153847,3.4433
Audi Q4 e-tron,52000,STANDARD,6597,1,14823,0.31,0.32,47998,0.2850576923076923,3.5013
Skoda Enyaq,77000,STANDARD,32161,3,15760,0.2,0.26,53792,0.20467532467532468,3.3848
Skoda Enyaq,77000,STANDARD,8942,4,9881,0.1,0.32,42125,0.1283246753246753,3.2417
Tesla Model Y,75000,STANDARD,23005,3,16823,0.2,0.36,44165,0.22430666666666665,3.4186
Audi Q4 e-tron,52000,STANDARD,9480,2,15079,0.22,0.36,32381,0.2899807692307692,3.5062
Tesla Model 3,75000,STANDARD,6421,4,15845,0.19,0.3,43359,0.21126666666666666,3.3962
Tesla Model Y,75000,STANDARD,8294,1,15285,0.3,0.25,72037,0.2038,3.383
Tesla Model Y,75000,STANDARD,11942,3,9571,0.33,0.3,63380,0.12761333333333333,3.2405
Skoda Enyaq,77000,STANDARD,16755,4,10656,0.31,0.24,31736,0.1383896103896104,3.2588
Volvo EX30,51000,STANDARD,32316,2,19984,0.16,0.3,44547,0.39184313725490194,3.622
Skoda Enyaq,77000,STANDARD,38418,2,9391,0.09,0.29,54201,0.12196103896103896,3.2309
Tesla Model Y,75000,STANDARD,26451,0,15640,0.28,0.31,45833,0.20853333333333332,3.3915
Tesla Model Y,75000,STANDARD,41740,1,19531,0.24,0.22,71957,0.26041333333333333,3.4766
Tesla Model 3,75000,STANDARD,17078,2,17694,0.2,0.33,37414,0.23592,3.4385
Skoda Enyaq,77000,STANDARD,36548,1,10290,0.3,0.38,33665,0.13363636363636364,3.2507
Tesla Model Y,75000,STANDARD,5368,0,9961,0.05,0.28,70535,0.13281333333333334,3.2493
Tesla Model 3,75000,STANDARD,21890,3,12645,0.22,0.39,62831,0.1686,3.3136
Tesla Model Y,75000,STANDARD,4831,2,7917,0.05,0.27,45988,0.10556,3.2028
Volvo EX30,51000,STANDARD,7766,2,14917,0.19,0.24,36315,0.29249019607843135,3.5087
Skoda Enyaq,77000,STANDARD,19845,4,11165,0.03,0.39,45620,0.145,3.27
Volvo EX30,51000,STANDARD,35629,2,7717,0.11,0.35,37985,0.1513137254901961,3.2807
Tesla Model Y,75000,STANDARD,35410,2,18034,0.0,0.39,35960,0.24045333333333332,3.4463
Skoda Enyaq,77000,STANDARD,8575,0,9690,0.2,0.39,65509,0.12584415584415584,3.2375
Skoda Enyaq,77000,STANDARD,3560,4,15227,0.04,0.24,43846,0.19775324675324676,3.3711
Volvo EX30,51000,STANDARD,15520,3,5435,0.01,0.29,38639,0.10656862745098039,3.2048
Volvo EX30,51000,STANDARD,19955,2,10794,0.35,0.39,40617,0.2116470588235294,3.3969
Volvo EX30,51000,STANDARD,10297,2,16008,0.33,0.27,46590,0.31388235294117645,3.5296
Tesla Model 3,75000,STANDARD,38753,0,13501,0.22,0.25,59244,0.18001333333333333,3.3361
Audi Q4 e-tron,52000,STANDARD,12795,1,8204,0.13,0.23,48652,0.15776923076923077,3.2923
Skoda Enyaq,77000,STANDARD,8837,1,16242,0.2,0.38,66963,0.21093506493506495,3.3957
Audi Q4 e-tron,52000,STANDARD,6257,1,16446,0.26,0.23,32880,0.31626923076923075,3.5318
Tesla Model Y,75000,STANDARD,3739,2,8261,0.24,0.24,59488,0.11014666666666667,3.2109
Tesla Model Y,75000,STANDARD,19697,3,9634,0.09,0.39,53389,0.12845333333333334,3.242
Tesla Model Y,75000,STANDARD,40775,2,8935,0.13,0.32,67501,0.11913333333333333,3.2261
Skoda Enyaq,77000,STANDARD,33613,0,15150,0.33,0.25,55514,0.19675324675324676,3.3691
Tesla Model 3,75000,STANDARD,9193,3,19307,0.12,0.33,53213,0.2574266666666667,3.4736
Tesla Model 3,75000,STANDARD,12431,0,14077,0.13,0.21,46578,0.18769333333333332,3.3513
Audi Q4 e-tron,52000,STANDARD,19802,4,11729,0.27,0.24,47927,0.22555769230769232,3.4207
Audi Q4 e-tron,52000,STANDARD,34019,0,11927,0.35,0.35,40223,0.2293653846153846,3.4273
Volvo EX30,51000,STANDARD,19481,3,8565,0.04,0.35,36036,0.16794117647058823,3.3123
Tesla Model Y,75000,STANDARD,38172,4,15093,0.11,0.32,33216,0.20124,3.378
Tesla Model 3,75000,STANDARD,26977,4,19206,0.2,0.35,56053,0.25608,3.4723
Volvo EX30,51000,STANDARD,21076,4,8283,0.18,0.38,38672,0.16241176470588237,3.3014
Tesla Model Y,75000,STANDARD,26216,2,8696,0.13,0.25,73662,0.11594666666666667,3.2207
Skoda Enyaq,77000,STANDARD,17226,1,5825,0.17,0.23,41920,0.07564935064935065,3.125
Tesla Model Y,75000,STANDARD,19296,3,10080,0.29,0.34,26951,0.1344,3.252
Tesla Model Y,75000,STANDARD,31375,1,14751,0.22,0.28,44572,0.19668,3.369
Skoda Enyaq,77000,STANDARD,22125,2,11613,0.27,0.39,72584,0.15081818181818182,3.2799
Tesla Model 3,75000,STANDARD,9149,4,9655,0.05,0.23,43553,0.12873333333333334,3.2424
Tesla Model Y,75000,STANDARD,13788,1,17164,0.28,0.39,52679,0.22885333333333333,3.4264
Volvo EX30,51000,STANDARD,37062,1,12524,0.04,0.24,46905,0.2455686274509804,3.455
Tesla Model Y,75000,STANDARD,3067,0,16541,0.31,0.22,72000,0.22054666666666667,3.4121
Tesla Model Y,75000,STANDARD,38916,4,9819,0.05,0.28,43333,0.13092,3.2461
Tesla Model Y,75000,STANDARD,9581,4,5284,0.34,0.38,63408,0.07045333333333334,3.1115
Volvo EX30,51000,STANDARD,31490,4,8179,0.02,0.36,40006,0.16037254901960785,3.2974
Tesla Model Y,75000,STANDARD,5552,2,14574,0.16,0.28,74606,0.19432,3.3643
Tesla Model 3,75000,STANDARD,3643,1,6963,0.32,0.35,73624,0.09284,3.1697
Tesla Model Y,75000,STANDARD,4647,0,16103,0.22,0.27,45529,0.21470666666666666,3.4021
Tesla Model 3,75000,STANDARD,21994,3,14961,0.21,0.36,72303,0.19948,3.3745
Tesla Model Y,75000,STANDARD,25006,2,10811,0.26,0.36,53480,0.14414666666666667,3.2686
Tesla Model 3,75000,STANDARD,38434,0,10282,0.08,0.39,45656,0.13709333333333334,3.2566
Volvo EX30,51000,STANDARD,39552,2,15309,0.06,0.34,40694,0.30017647058823527,3.5164
Skoda Enyaq,77000,STANDARD,9746,1,5332,0.19,0.3,41411,0.06924675324675325,3.1084
Skoda Enyaq,77000,STANDARD,11587,4,12083,0.14,0.34,68873,0.15692207792207793,3.2906
Skoda Enyaq,77000,STANDARD,36808,3,16635,0.15,0.31,33233,0.21603896103896103,3.4044
Tesla Model Y,75000,STANDARD,38510,1,5675,0.31,0.37,73810,0.07566666666666666,3.1251
Audi Q4 e-tron,52000,STANDARD,42535,2,14635,0.08,0.2,39623,0.2814423076923077,3.4976
Volvo EX30,51000,STANDARD,7441,3,6301,0.27,0.22,45168,0.12354901960784313,3.2336
Volvo EX30,51000,STANDARD,8135,1,16174,0.04,0.28,36746,0.31713725490196076,3.5326
Tesla Model 3,75000,STANDARD,38718,2,11122,0.24,0.33,40139,0.14829333333333333,3.2756
Tesla Model 3,75000,STANDARD,4927,4,15334,0.14,0.23,43367,0.20445333333333332,3.3843
Tesla Model Y,75000,STANDARD,14107,4,8891,0.09,0.2,52180,0.11854666666666666,3.2252
Volvo EX30,51000,STANDARD,3505,4,9615,0.16,0.29,44219,0.1885294117647059,3.3529
Skoda Enyaq,77000,STANDARD,39794,0,14265,0.25,0.35,32449,0.18525974025974026,3.3465
